,name,latitude,longitude,n_officers,simulation_name,immediate_count,prompt_count,other_count,station_number,immediate_within_time_count,prompt_within_time_count,other_within_time_count,min_SFI,Location Category,imm_res_per_officer,pro_res_per_officer,other_res_per_officer,neg_min_SFI,service_provision_index,cost_index,DPU_ResponseOfficers_Count,Property Size GIA sq.m,Co-Located,Condition Grade,infrastructure metric,estate_index
0,"Baird Street, Glasgow",55.86954175096648,-4.236984214612192,153.0,station_1,0.5454545454545455,0.5564516129032258,0.8648648648648649,1,1.0,1.0,1.0,0.0013742681325967755,Urban,0.0784313725490196,0.0693815987933635,0.06435394670688789,0.2426459147833261,0.6569800030165912,0.6628666666990151,0.42148760330578516,0.6687751581368602,0.0,0.5,0.39756569036066136,0.531711959935849
1,Barrhead,55.79993040376852,-4.3904263676358575,37.0,station_2,0.16883116883116883,0.27419354838709675,0.2702702702702703,2,0.7692307692307693,1.0,1.0,0.0012113287765509048,Urban,0.10038610038610038,0.14137214137214138,0.08316008316008316,0.33244119127768534,0.5614857858627859,0.6271103553549513,0.10192837465564739,0.10523289246693501,0.0,0.0,0.0517903167806456,0.4599242905733098
2,Bishopbriggs,55.90382165317414,-4.226463300099154,4.0,station_3,0.14285714285714288,0.12903225806451613,0.35135135135135137,3,1.0,1.0,1.0,0.0014029730147645928,Urban,0.7857142857142857,0.6153846153846154,1.0,0.22682676038411798,0.9103810769230769,0.6418224283048151,0.011019283746556474,0.08376461567950928,0.0,0.5,0.14869597485651645,0.6788329365478745
3,"Cathcart, Glasgow",55.82900255217183,-4.2481482036899285,117.0,station_4,0.48051948051948057,0.4193548387096774,0.7837837837837838,4,1.0,1.0,1.0,0.0013433599986818767,Urban,0.09035409035409034,0.06837606837606838,0.0762656147271532,0.25967927307174155,0.6602906982248521,0.7314662444444804,0.3223140495867769,0.45006708836496073,0.0,0.5,0.3180952844879344,0.5310353705760271
4,Cowcaddens,55.86849410138634,-4.257926634212031,89.0,station_5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0013567029939120436,Urban,0.24719101123595505,0.21434745030250651,0.1279170267934313,0.252325997748753,0.7151463923941227,0.6679074440325996,0.24517906336088155,0.7416139543799117,0.0,0.5,0.3716982544351983,0.565519495024311
5,Drumchapel,55.90941104174521,-4.37461540930658,109.0,station_6,0.28571428571428575,0.3225806451612903,0.32432432432432434,6,1.0,1.0,1.0,0.001289393170619188,Urban,0.057667103538663174,0.056457304163726185,0.03387438249823571,0.28942019242365336,0.6497397939308398,0.6723716235889531,0.30027548209366395,0.24669350201265094,0.0,1.0,0.3867422460265787,0.5377910949980216
6,"Easterhouse, Glasgow",55.86861714062789,-4.119148307826863,57.0,station_7,0.7662337662337663,0.4879032258064516,0.8378378378378379,7,0.9830508474576272,1.0,1.0,0.001469837376111741,Urban,0.29573934837092736,0.16329284750337383,0.16734143049932526,0.1899780581399797,0.716479508131476,0.6605611393204742,0.15702479338842976,0.2294422081656124,0.0,0.0,0.09661675038851053,0.5338450285833597
7,"Giffnock, East Renfrewshire",55.80600779663986,-4.293164756911672,41.0,station_8,0.4415584415584416,0.407258064516129,0.35135135135135137,8,0.9705882352941176,1.0,1.0,0.0012947493209671795,Urban,0.23693379790940763,0.18949343339587243,0.0975609756097561,0.2864684377763117,0.6959009108818011,0.6409466866124328,0.11294765840220386,0.19781483611270845,0.0,0.5,0.20269062362872808,0.5494005758623747
8,"Gorbals, Glasgow",55.84699895359203,-4.247957351656175,75.0,station_9,0.5584415584415585,0.49193548387096775,0.40540540540540543,9,1.0,1.0,1.0,0.001352904063955863,Urban,0.16380952380952382,0.12512820512820513,0.06153846153846154,0.2544195739974642,0.6841209784615385,0.6792569548371824,0.2066115702479339,0.11826720337358634,0.0,0.5,0.20621969340538004,0.5373852843687047
9,"Helen Street, Govan",55.84906160596771,-4.317443958904684,363.0,station_10,0.36363636363636365,0.3709677419354839,0.5675675675675675,10,1.0,1.0,1.0,0.0012151629241168064,Urban,0.02203856749311295,0.019495655859292225,0.017800381436745075,0.33032820673450736,0.6368558601398602,0.7141615416753309,1.0,0.9999999999999999,0.0,0.5,0.625,0.5712568981068389
